file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
1C7C72AD,0,,,,,record0:segment0:timing0-0,,"<R= F S L N ,サンディニスタ>の兵士が\n捕虜になっているかもしれない 注意するんだ",捕虜の前で<I=ACT>を押せば\nマザーに移送出来る,"<R= F S L N ,サンディニスタ>",,,NOT_CHECKED,110,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1,小心，他们可能扣押了FSLN的士兵。,"[""小心，他们可能扣押了FSLN的士兵。""]","Careful, now. They might be holding FSLN soldiers prisoner.","[""Careful, now. They might be holding FSLN soldiers prisoner.""]",AUX_CN_ATTACHED,v2_mapping_audit_first_scanned_mlg_cn_variant,mapping=unique_optimal_monotonic_nontext_control_alignment; status=SUCCESS; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
1C7C72AD,1,,,,,record1:segment0:timing78-106,"<R= F S L N ,サンディニスタ>の兵士が\n捕虜になっているかもしれない 注意するんだ",捕虜の前で<I=ACT>を押せば\nマザーに移送出来る,フルトン回収だ,<I=ACT>,,,NOT_CHECKED,63,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1,在俘虏面前按 <I=ACT>,"[""在俘虏面前按 <I=ACT>""]",Press <I=ACT> in front of a prisoner,"[""Press <I=ACT> in front of a prisoner""]",AUX_CN_ATTACHED,v2_mapping_audit_first_scanned_mlg_cn_variant,mapping=unique_optimal_monotonic_nontext_control_alignment; status=SUCCESS; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
1C7C72AD,2,,,,,record1:segment1:timing0-0,捕虜の前で<I=ACT>を押せば\nマザーに移送出来る,フルトン回収だ,捕虜を回収するには\nまずフルトン回収システムを装備するんだ,,,,NOT_CHECKED,21,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1,用富尔顿回收系统把俘虏带回母基地。,"[""用富尔顿回收系统把俘虏带回母基地。""]",to take them to Mother Base using the Fulton recovery system.,"[""to take them to Mother Base using the Fulton recovery system.""]",AUX_CN_ATTACHED,v2_mapping_audit_first_scanned_mlg_cn_variant,mapping=unique_optimal_monotonic_nontext_control_alignment; status=SUCCESS; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
1C7C72AD,3,,,,,record2:segment0:timing0-0,フルトン回収だ,捕虜を回収するには\nまずフルトン回収システムを装備するんだ,装備品選択は<I=EQUIPWINDOW>を押しながら\n<I=MOVE>の左右だ,,,,NOT_CHECKED,86,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1,要把俘虏送到母基地，需要装备富尔顿回收系统。,"[""要把俘虏送到母基地，需要装备富尔顿回收系统。""]","To send a prisoner to Mother Base, equip the Fulton Recovery System.","[""To send a prisoner to Mother Base, equip the Fulton Recovery System.""]",AUX_CN_ATTACHED,v2_mapping_audit_first_scanned_mlg_cn_variant,mapping=unique_optimal_monotonic_nontext_control_alignment; status=SUCCESS; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
1C7C72AD,4,,,,,record3:segment0:timing0-0,捕虜を回収するには\nまずフルトン回収システムを装備するんだ,装備品選択は<I=EQUIPWINDOW>を押しながら\n<I=MOVE>の左右だ,装備品を選ぶには <I=EQUIPWINDOW>を押しっぱなしにする,<I=EQUIPWINDOW> | <I=MOVE>,,,NOT_CHECKED,73,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1,按住 <I=EQUIPWINDOW> 的同时\n左右倾斜 <I=MOVE> 选择装备。,"[""按住 <I=EQUIPWINDOW> 的同时\\n左右倾斜 <I=MOVE> 选择装备。""]",Select equipment by tilting <I=MOVE> left\nor right while holding <I=EQUIPWINDOW>.,"[""Select equipment by tilting <I=MOVE> left\\nor right while holding <I=EQUIPWINDOW>.""]",AUX_CN_ATTACHED,v2_mapping_audit_first_scanned_mlg_cn_variant,mapping=unique_optimal_monotonic_nontext_control_alignment; status=SUCCESS; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
1C7C72AD,5,,,,,record4:segment0:timing105-176,装備品選択は<I=EQUIPWINDOW>を押しながら\n<I=MOVE>の左右だ,装備品を選ぶには <I=EQUIPWINDOW>を押しっぱなしにする,それから<I=MOVE>の左右で選べばいい,<I=EQUIPWINDOW>,,,NOT_CHECKED,70,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1,按住 <I=EQUIPWINDOW> 选择装备，,"[""按住 <I=EQUIPWINDOW> 选择装备，""]","Select equipment by holding <I=EQUIPWINDOW>,","[""Select equipment by holding <I=EQUIPWINDOW>,""]",AUX_CN_ATTACHED,v2_mapping_audit_first_scanned_mlg_cn_variant,mapping=unique_optimal_monotonic_nontext_control_alignment; status=SUCCESS; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
1C7C72AD,6,,,,,record4:segment1:timing0-0,装備品を選ぶには <I=EQUIPWINDOW>を押しっぱなしにする,それから<I=MOVE>の左右で選べばいい,装備品を選ぶには <I=EQUIPWINDOW>を押しながら<I=MOVE>の左右だ,<I=MOVE>,,,NOT_CHECKED,47,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1,然后左右倾斜 <I=MOVE>\n进行选择。,"[""然后左右倾斜 <I=MOVE>\\n进行选择。""]",then tilt <I=MOVE> left or\nright to make your selection.,"[""then tilt <I=MOVE> left or\\nright to make your selection.""]",AUX_CN_ATTACHED,v2_mapping_audit_first_scanned_mlg_cn_variant,mapping=unique_optimal_monotonic_nontext_control_alignment; status=SUCCESS; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
1C7C72AD,7,,,,,record5:segment0:timing0-0,それから<I=MOVE>の左右で選べばいい,装備品を選ぶには <I=EQUIPWINDOW>を押しながら<I=MOVE>の左右だ,バルーンがあればマザーに移送出来るんだが…,<I=EQUIPWINDOW> | <I=MOVE>,,,NOT_CHECKED,78,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1,,[],,[],NO_RELIABLE_GTT_MAPPING,v2_mapping_audit,no unique equal-topology SUCCESS/HARD_OVERFLOW mapping
1C7C72AD,8,,,,,record6:segment0:timing0-0,装備品を選ぶには <I=EQUIPWINDOW>を押しながら<I=MOVE>の左右だ,バルーンがあればマザーに移送出来るんだが…,反対側へ抜けるには 選別所の中を通らなくては…,,,,NOT_CHECKED,63,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1,如果有气球的话，你就能把俘虏送回母基地了。,"[""如果有气球的话，你就能把俘虏送回母基地了。""]",You could transport the prisoner to Mother Base - if you had a balloon.,"[""You could transport the prisoner to Mother Base - if you had a balloon.""]",AUX_CN_ATTACHED,v2_mapping_audit_first_scanned_mlg_cn_variant,mapping=unique_optimal_monotonic_nontext_control_alignment; status=SUCCESS; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
1C7C72AD,9,,,,,record7:segment0:timing0-0,バルーンがあればマザーに移送出来るんだが…,反対側へ抜けるには 選別所の中を通らなくては…,そのあたりにはキジマドクチョウがいるみたい,,,,NOT_CHECKED,67,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1,,[],,[],NO_RELIABLE_GTT_MAPPING,v2_mapping_audit,no unique equal-topology SUCCESS/HARD_OVERFLOW mapping
