file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
LANG_MYOUTER_STAFF_COMMENT.OLANG,0,0,0,1,,page174:tag:entity332:key00374EF2:ref0:ord0,,"「ボスって猫派ですか？　犬派ですか？　ちなみに俺は猫派です…　
　クシュッ！　クシュッ！　猫アレルギーなんですけどね」",「チョリソって知ってるか？　メキシコのソーセージだ。卵と焼くとウマイぞ！」,,,,NOT_CHECKED,175,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_MYOUTER_STAFF_COMMENT.OLANG,1,1,1,1,,page174:tag:entity331:key00374EF1:ref1:ord0,"「ボスって猫派ですか？　犬派ですか？　ちなみに俺は猫派です…　
　クシュッ！　クシュッ！　猫アレルギーなんですけどね」",「チョリソって知ってるか？　メキシコのソーセージだ。卵と焼くとウマイぞ！」,「ハァ、ハァ、ハァ、ハァ…筋トレは最高だ！」,,,,NOT_CHECKED,111,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_MYOUTER_STAFF_COMMENT.OLANG,2,2,2,1,,page174:tag:entity330:key00374EF0:ref2:ord0,「チョリソって知ってるか？　メキシコのソーセージだ。卵と焼くとウマイぞ！」,「ハァ、ハァ、ハァ、ハァ…筋トレは最高だ！」,「前髪、切りすぎちゃった」 ,,,,NOT_CHECKED,66,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_MYOUTER_STAFF_COMMENT.OLANG,3,3,3,1,,page174:tag:entity329:key00374ED9:ref3:ord0,「ハァ、ハァ、ハァ、ハァ…筋トレは最高だ！」,「前髪、切りすぎちゃった」 ,"「俺、この戦いが終わったら故郷でエビ漁師になるんだ。
　仲間もさそって皆で漁船を買うんだ！」",,,,NOT_CHECKED,40,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_MYOUTER_STAFF_COMMENT.OLANG,4,4,4,1,,page174:tag:entity328:key00374ED8:ref4:ord0,「前髪、切りすぎちゃった」 ,"「俺、この戦いが終わったら故郷でエビ漁師になるんだ。
　仲間もさそって皆で漁船を買うんだ！」",「故郷に娘がいる。もう随分会ってないがな…」 ,,,,NOT_CHECKED,136,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_MYOUTER_STAFF_COMMENT.OLANG,5,5,5,1,,page174:tag:entity327:key00374ED7:ref5:ord0,"「俺、この戦いが終わったら故郷でエビ漁師になるんだ。
　仲間もさそって皆で漁船を買うんだ！」",「故郷に娘がいる。もう随分会ってないがな…」 ,「ボスはホントにダンボールが好きなんですね…、俺もです」,,,,NOT_CHECKED,67,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_MYOUTER_STAFF_COMMENT.OLANG,6,6,6,1,,page174:tag:entity326:key00374ED6:ref6:ord0,「故郷に娘がいる。もう随分会ってないがな…」 ,「ボスはホントにダンボールが好きなんですね…、俺もです」,"「時代を変えたければ、それまでの常識に盲従するな。
　何が正しいのかを見極めるのも自分自身になる。
　…そうなんですね、ボス？」",,,,NOT_CHECKED,84,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_MYOUTER_STAFF_COMMENT.OLANG,7,7,7,1,,page174:tag:entity325:key00374ED5:ref7:ord0,「ボスはホントにダンボールが好きなんですね…、俺もです」,"「時代を変えたければ、それまでの常識に盲従するな。
　何が正しいのかを見極めるのも自分自身になる。
　…そうなんですね、ボス？」",「このマザーベース、一緒に大きくしていきましょう！」,,,,NOT_CHECKED,188,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_MYOUTER_STAFF_COMMENT.OLANG,8,8,8,1,,page174:tag:entity324:key00374ED4:ref8:ord0,"「時代を変えたければ、それまでの常識に盲従するな。
　何が正しいのかを見極めるのも自分自身になる。
　…そうなんですね、ボス？」",「このマザーベース、一緒に大きくしていきましょう！」,「ボスに拾ってもらえるなんて…。俺がいらなくなったら、いつでも棄ててください」,,,,NOT_CHECKED,78,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_MYOUTER_STAFF_COMMENT.OLANG,9,9,9,1,,page174:tag:entity323:key00374ED3:ref9:ord0,「このマザーベース、一緒に大きくしていきましょう！」,「ボスに拾ってもらえるなんて…。俺がいらなくなったら、いつでも棄ててください」,「いま、ボスと同じ事を考えていました」,,,,NOT_CHECKED,117,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
