file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
LANG_EXTRA.OLANG,0,0,0;0,2,,page23:tag:entity102:key009AE5D7:ref0:ord0;page88:tag:entity102:key009AE5D7:ref0:ord0,,"EXTRAS
[VOCALOID]",VOCALOID EDIT,,,,NOT_CHECKED,17,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_EXTRA.OLANG,1,1,1;1,2,,page23:tag:entity51:key00493A44:ref1:ord0;page88:tag:entity51:key00493A44:ref1:ord0,"EXTRAS
[VOCALOID]",VOCALOID EDIT,"EXTRAS
[PASSCODE]",,,,NOT_CHECKED,13,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_EXTRA.OLANG,2,2,2;2,2,,page23:tag:entity57:key0054ADD0:ref2:ord0;page88:tag:entity57:key0054ADD0:ref2:ord0,VOCALOID EDIT,"EXTRAS
[PASSCODE]",NETWORK,,,,NOT_CHECKED,17,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_EXTRA.OLANG,3,3,3;3,2,,page23:tag:entity70:key006CD55A:ref3:ord0;page88:tag:entity70:key006CD55A:ref3:ord0,"EXTRAS
[PASSCODE]",NETWORK,EXTRAS,,,,NOT_CHECKED,7,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_EXTRA.OLANG,4,4,4;4,2,,page23:tag:entity19:key00255A83:ref4:ord0;page88:tag:entity19:key00255A83:ref4:ord0,NETWORK,EXTRAS,"EXTRAS
[DOWNLOAD]",,,,NOT_CHECKED,6,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_EXTRA.OLANG,5,5,5;5,2,,page23:tag:entity6:key0008D0F7:ref5:ord0;page88:tag:entity6:key0008D0F7:ref5:ord0,EXTRAS,"EXTRAS
[DOWNLOAD]","EXTRAS
[DATA MANAGEMENT]",,,,NOT_CHECKED,17,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_EXTRA.OLANG,6,6,6;6,2,,page23:tag:entity115:key00B40CDA:ref6:ord0;page88:tag:entity115:key00B40CDA:ref6:ord0,"EXTRAS
[DOWNLOAD]","EXTRAS
[DATA MANAGEMENT]",ファイルが選択されていません。,,,,NOT_CHECKED,24,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_EXTRA.OLANG,7,7,7;7,2,,page23:tag:entity2:key0003E494:ref7:ord0;page88:tag:entity2:key0003E494:ref7:ord0,"EXTRAS
[DATA MANAGEMENT]",ファイルが選択されていません。,システム音声（VOCALOIDエディット）,,,,NOT_CHECKED,45,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_EXTRA.OLANG,8,8,8;8,2,,page23:tag:entity138:key00F9C616:ref8:ord0;page88:tag:entity138:key00F9C616:ref8:ord0,ファイルが選択されていません。,システム音声（VOCALOIDエディット）,システム音声,,,,NOT_CHECKED,47,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_EXTRA.OLANG,9,9,9;9,2,,page23:tag:entity49:key00475FC1:ref9:ord0;page88:tag:entity49:key00475FC1:ref9:ord0,システム音声（VOCALOIDエディット）,システム音声,『METAL GEAR ZEKE』用音声（VOCALOIDエディット）,,,,NOT_CHECKED,18,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
