file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
5D56AA31,0,0,0;0,2,,page4:tag12:entity8:key00B9FF48:ref0:ord0;page10:tag9:entity8:key00B9FF48:ref0:ord0,,UNKNOWN,STAMINA,,,,NOT_CHECKED,7,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2,,[],UNKNOWN,"[""UNKNOWN""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D56AA31,1,1,1;1,2,,page4:tag12:entity9:key00C443F4:ref1:ord0;page10:tag9:entity9:key00C443F4:ref1:ord0,UNKNOWN,STAMINA,SOLDIERS,,,,NOT_CHECKED,7,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2,PSYCHE,"[""PSYCHE""]",PSYCHE,"[""PSYCHE""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D56AA31,2,2,2;2,2,,page4:tag12:entity7:key00AA47BF:ref2:ord0;page10:tag9:entity7:key00AA47BF:ref2:ord0,STAMINA,SOLDIERS,SKILL,,,,NOT_CHECKED,8,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2,,[],SOLDIERS,"[""SOLDIERS""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D56AA31,3,3,3;3,2,,page4:tag12:entity11:key00FB3E6C:ref3:ord0;page10:tag9:entity11:key00FB3E6C:ref3:ord0,SOLDIERS,SKILL,SCANNING...,,,,NOT_CHECKED,5,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2,SKILLS,"[""SKILLS""]",SKILLS,"[""SKILLS""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D56AA31,4,4,4;4,2,,page4:tag12:entity10:key00D99905:ref4:ord0;page10:tag9:entity10:key00D99905:ref4:ord0,SKILL,SCANNING...,PEAK RANK,,,,NOT_CHECKED,11,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2,,[],SCANNING...,"[""SCANNING...""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D56AA31,5,5,5;5,2,,page4:tag12:entity0:key0017281D:ref5:ord0;page10:tag9:entity0:key0017281D:ref5:ord0,SCANNING...,PEAK RANK,PEAK,,,,NOT_CHECKED,9,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2,RANK,"[""RANK""]",RANK,"[""RANK""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D56AA31,6,6,6;6,2,,page4:tag12:entity3:key004727A4:ref6:ord0;page10:tag9:entity3:key004727A4:ref6:ord0,PEAK RANK,PEAK,NAME,,,,NOT_CHECKED,4,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2,APTITUDE,"[""APTITUDE""]",APTITUDE,"[""APTITUDE""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D56AA31,7,7,7;7,2,,page4:tag12:entity1:key00389205:ref7:ord0;page10:tag9:entity1:key00389205:ref7:ord0,PEAK,NAME,LIFE,,,,NOT_CHECKED,4,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2,,[],NAME,"[""NAME""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D56AA31,8,8,8;8,2,,page4:tag12:entity2:key0039D502:ref8:ord0;page10:tag9:entity2:key0039D502:ref8:ord0,NAME,LIFE,LEVEL,,,,NOT_CHECKED,4,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2,,[],LIFE,"[""LIFE""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D56AA31,9,9,9;9,2,,page4:tag12:entity6:key008B0506:ref9:ord0;page10:tag9:entity6:key008B0506:ref9:ord0,LIFE,LEVEL,ITEM,,,,NOT_CHECKED,5,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2,,[],LEVEL,"[""LEVEL""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D56AA31,10,10,10;10,2,,page4:tag12:entity5:key00882602:ref10:ord0;page10:tag9:entity5:key00882602:ref10:ord0,LEVEL,ITEM,BULLET,,,,NOT_CHECKED,4,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2,,[],ITEM,"[""ITEM""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D56AA31,11,11,11;11,2,,page4:tag12:entity4:key0087BDDF:ref11:ord0;page10:tag9:entity4:key0087BDDF:ref11:ord0,ITEM,BULLET,UNKNOWN,,,,NOT_CHECKED,6,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2,BULLETS,"[""BULLETS""]",BULLETS,"[""BULLETS""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
