file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5DDD0EA8,0,0,0,1,,page28:tag3:entity422:key00B6E308:ref0:ord0,,盗聴テープ,極秘ファイル,,,,NOT_CHECKED,15,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5DDD0EA8,1,1,1,1,,page28:tag3:entity421:key00B6E307:ref1:ord0,盗聴テープ,極秘ファイル,●その7,,,,NOT_CHECKED,18,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5DDD0EA8,2,2,2;15,2,,page28:tag3:entity420:key00B6E306:ref2:ord0;page28:tag3:entity407:key00B6E2CD:ref15:ord0,極秘ファイル,●その7,●その6,,,,NOT_CHECKED,10,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5DDD0EA8,3,3,3;16,2,,page28:tag3:entity419:key00B6E2EF:ref3:ord0;page28:tag3:entity406:key00B6E2CC:ref16:ord0,●その7,●その6,●その5,,,,NOT_CHECKED,10,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5DDD0EA8,4,4,4;17,2,,page28:tag3:entity418:key00B6E2EE:ref4:ord0;page28:tag3:entity405:key00B6E2CB:ref17:ord0,●その6,●その5,●その4,,,,NOT_CHECKED,10,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5DDD0EA8,5,5,5;18,2,,page28:tag3:entity417:key00B6E2ED:ref5:ord0;page28:tag3:entity404:key00B6E2CA:ref18:ord0,●その5,●その4,●その3,,,,NOT_CHECKED,10,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5DDD0EA8,6,6,6;19,2,,page28:tag3:entity416:key00B6E2EC:ref6:ord0;page28:tag3:entity403:key00B6E2C9:ref19:ord0,●その4,●その3,●その2,,,,NOT_CHECKED,10,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5DDD0EA8,7,7,7;20,2,,page28:tag3:entity415:key00B6E2EB:ref7:ord0;page28:tag3:entity402:key00B6E2C8:ref20:ord0,●その3,●その2,●その1,,,,NOT_CHECKED,10,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5DDD0EA8,8,8,8;21,2,,page28:tag3:entity414:key00B6E2EA:ref8:ord0;page28:tag3:entity401:key00B6E2C7:ref21:ord0,●その2,●その1,EVAからのメッセージ,,,,NOT_CHECKED,10,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5DDD0EA8,9,9,9,1,,page28:tag3:entity413:key00B6E2E9:ref9:ord0,●その1,EVAからのメッセージ,●EVAによるデブリーフィング,,,,NOT_CHECKED,27,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
