file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
5D4C49A2,0,0,0;0;0;0,4,,page28:tag14:entity332:key00374EF2:ref0:ord0;page34:tag12:entity332:key00374EF2:ref0:ord0;page52:tag3:entity332:key00374EF2:ref0:ord0;page64:tag10:entity332:key00374EF2:ref0:ord0,,"「ボスって猫派ですか？　犬派ですか？　ちなみに俺は猫派です…　
　クシュッ！　クシュッ！　猫アレルギーなんですけどね」",「チョリソって知ってるか？　メキシコのソーセージだ。卵と焼くとウマイぞ！」,,,,NOT_CHECKED,175,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4,Boss，你是喜欢猫的人还是喜欢狗的人？我嘛，我喜欢猫…啊…啊…阿嚏！可惜我对猫过敏。,"[""Boss，你是喜欢猫的人还是喜欢狗的人？我嘛，我喜欢猫…啊…啊…阿嚏！可惜我对猫过敏。""]","You a cat person or a dog person, Boss? Me, I'm a cat person... Ah... AH... ACHOO! Too bad I'm also allergic to them.","[""You a cat person or a dog person, Boss? Me, I'm a cat person... Ah... AH... ACHOO! Too bad I'm also allergic to them.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D4C49A2,1,1,1;1;1;1,4,,page28:tag14:entity331:key00374EF1:ref1:ord0;page34:tag12:entity331:key00374EF1:ref1:ord0;page52:tag3:entity331:key00374EF1:ref1:ord0;page64:tag10:entity331:key00374EF1:ref1:ord0,"「ボスって猫派ですか？　犬派ですか？　ちなみに俺は猫派です…　
　クシュッ！　クシュッ！　猫アレルギーなんですけどね」",「チョリソって知ってるか？　メキシコのソーセージだ。卵と焼くとウマイぞ！」,「ハァ、ハァ、ハァ、ハァ…筋トレは最高だ！」,,,,NOT_CHECKED,111,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4,你尝过墨西哥辣香肠吗？那是一种墨西哥香肠。好东西，尤其是和鸡蛋一起煎的时候！,"[""你尝过墨西哥辣香肠吗？那是一种墨西哥香肠。好东西，尤其是和鸡蛋一起煎的时候！""]","You ever tried chorizo? It's a Mexican sausage. Good stuff, especially when you fry it up with eggs!","[""You ever tried chorizo? It's a Mexican sausage. Good stuff, especially when you fry it up with eggs!""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D4C49A2,2,2,2;2;2;2,4,,page28:tag14:entity330:key00374EF0:ref2:ord0;page34:tag12:entity330:key00374EF0:ref2:ord0;page52:tag3:entity330:key00374EF0:ref2:ord0;page64:tag10:entity330:key00374EF0:ref2:ord0,「チョリソって知ってるか？　メキシコのソーセージだ。卵と焼くとウマイぞ！」,「ハァ、ハァ、ハァ、ハァ…筋トレは最高だ！」,「前髪、切りすぎちゃった」 ,,,,NOT_CHECKED,66,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4,哈，哈，哈，哈…没有什么比举铁更带劲了！,"[""哈，哈，哈，哈…没有什么比举铁更带劲了！""]","Hah, hah, hah, hah... nothing like pumping some iron!","[""Hah, hah, hah, hah... nothing like pumping some iron!""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D4C49A2,3,3,3;3;3;3,4,,page28:tag14:entity329:key00374ED9:ref3:ord0;page34:tag12:entity329:key00374ED9:ref3:ord0;page52:tag3:entity329:key00374ED9:ref3:ord0;page64:tag10:entity329:key00374ED9:ref3:ord0,「ハァ、ハァ、ハァ、ハァ…筋トレは最高だ！」,「前髪、切りすぎちゃった」 ,"「俺、この戦いが終わったら故郷でエビ漁師になるんだ。
　仲間もさそって皆で漁船を買うんだ！」",,,,NOT_CHECKED,40,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4,我把刘海剪太短了。,"[""我把刘海剪太短了。""]",I cut my bangs too short.,"[""I cut my bangs too short.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D4C49A2,4,4,4;4;4;4,4,,page28:tag14:entity328:key00374ED8:ref4:ord0;page34:tag12:entity328:key00374ED8:ref4:ord0;page52:tag3:entity328:key00374ED8:ref4:ord0;page64:tag10:entity328:key00374ED8:ref4:ord0,「前髪、切りすぎちゃった」 ,"「俺、この戦いが終わったら故郷でエビ漁師になるんだ。
　仲間もさそって皆で漁船を買うんだ！」",「故郷に娘がいる。もう随分会ってないがな…」 ,,,,NOT_CHECKED,136,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4,等这场仗打完，我就要回家当个捕虾人。我和哥们儿打算凑钱买条大船！,"[""等这场仗打完，我就要回家当个捕虾人。我和哥们儿打算凑钱买条大船！""]","When this battle's over, I'm gonna go home and be a shrimper. Me and my buddies are gonna pitch in an buy a big boat!","[""When this battle's over, I'm gonna go home and be a shrimper. Me and my buddies are gonna pitch in an buy a big boat!""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D4C49A2,5,5,5;5;5;5,4,,page28:tag14:entity327:key00374ED7:ref5:ord0;page34:tag12:entity327:key00374ED7:ref5:ord0;page52:tag3:entity327:key00374ED7:ref5:ord0;page64:tag10:entity327:key00374ED7:ref5:ord0,"「俺、この戦いが終わったら故郷でエビ漁師になるんだ。
　仲間もさそって皆で漁船を買うんだ！」",「故郷に娘がいる。もう随分会ってないがな…」 ,「ボスはホントにダンボールが好きなんですね…、俺もです」,,,,NOT_CHECKED,67,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4,我在老家有个女儿。好几年没见到她了…,"[""我在老家有个女儿。好几年没见到她了…""]",I got a daughter back home. Haven't seen her in years...,"[""I got a daughter back home. Haven't seen her in years...""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D4C49A2,6,6,6;6;6;6,4,,page28:tag14:entity326:key00374ED6:ref6:ord0;page34:tag12:entity326:key00374ED6:ref6:ord0;page52:tag3:entity326:key00374ED6:ref6:ord0;page64:tag10:entity326:key00374ED6:ref6:ord0,「故郷に娘がいる。もう随分会ってないがな…」 ,「ボスはホントにダンボールが好きなんですね…、俺もです」,"「時代を変えたければ、それまでの常識に盲従するな。
　何が正しいのかを見極めるのも自分自身になる。
　…そうなんですね、ボス？」",,,,NOT_CHECKED,84,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4,Boss，你确实很爱你的纸箱…我也爱。,"[""Boss，你确实很爱你的纸箱…我也爱。""]","You sure love your cardboard boxes, Boss... I love 'em too.","[""You sure love your cardboard boxes, Boss... I love 'em too.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D4C49A2,7,7,7;7;7;7,4,,page28:tag14:entity325:key00374ED5:ref7:ord0;page34:tag12:entity325:key00374ED5:ref7:ord0;page52:tag3:entity325:key00374ED5:ref7:ord0;page64:tag10:entity325:key00374ED5:ref7:ord0,「ボスはホントにダンボールが好きなんですね…、俺もです」,"「時代を変えたければ、それまでの常識に盲従するな。
　何が正しいのかを見極めるのも自分自身になる。
　…そうなんですね、ボス？」",「このマザーベース、一緒に大きくしていきましょう！」,,,,NOT_CHECKED,188,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4,想要促成时代的改变，就不能盲目遵从社会的规则。要能自己分辨对错…对吧，Boss？,"[""想要促成时代的改变，就不能盲目遵从社会的规则。要能自己分辨对错…对吧，Boss？""]","If you want to create a change in time, don't blindly abide by society's rules. Be able to evaluate what is right and wrong on your own...   Right Boss? ","[""If you want to create a change in time, don't blindly abide by society's rules. Be able to evaluate what is right and wrong on your own...   Right Boss? ""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D4C49A2,8,8,8;8;8;8,4,,page28:tag14:entity324:key00374ED4:ref8:ord0;page34:tag12:entity324:key00374ED4:ref8:ord0;page52:tag3:entity324:key00374ED4:ref8:ord0;page64:tag10:entity324:key00374ED4:ref8:ord0,"「時代を変えたければ、それまでの常識に盲従するな。
　何が正しいのかを見極めるのも自分自身になる。
　…そうなんですね、ボス？」",「このマザーベース、一緒に大きくしていきましょう！」,「ボスに拾ってもらえるなんて…。俺がいらなくなったら、いつでも棄ててください」,,,,NOT_CHECKED,78,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4,让我们齐心协力，让母基地发展壮大！,"[""让我们齐心协力，让母基地发展壮大！""]",Let's put our heads together and make Mother Base grow!,"[""Let's put our heads together and make Mother Base grow!""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D4C49A2,9,9,9;9;9;9,4,,page28:tag14:entity323:key00374ED3:ref9:ord0;page34:tag12:entity323:key00374ED3:ref9:ord0;page52:tag3:entity323:key00374ED3:ref9:ord0;page64:tag10:entity323:key00374ED3:ref9:ord0,「このマザーベース、一緒に大きくしていきましょう！」,「ボスに拾ってもらえるなんて…。俺がいらなくなったら、いつでも棄ててください」,「いま、ボスと同じ事を考えていました」,,,,NOT_CHECKED,117,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4,Boss，真不敢相信你收留了我…我会尽力不让你失望的，但你要是不得不开除我，我也完全理解。,"[""Boss，真不敢相信你收留了我…我会尽力不让你失望的，但你要是不得不开除我，我也完全理解。""]","I can't believe you took me in, Boss... I'll do my best not to disappoint, but I'd totally understand if you have to sack me.","[""I can't believe you took me in, Boss... I'll do my best not to disappoint, but I'd totally understand if you have to sack me.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
