file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D3AFD2D,0,0,0,1,,page1984:tag2:entity0:key00000000:ref0:ord0,,こいつは… まさか…,お前が！,,,,NOT_CHECKED,28,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFD2D,1,1,1,1,,page1984:tag2:entity9:key00000008:ref1:ord0,こいつは… まさか…,お前が！,むしろ… 憎い,,,,NOT_CHECKED,12,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFD2D,2,2,2,1,,page1984:tag2:entity8:key00000007:ref2:ord0,お前が！,むしろ… 憎い,恋しかったわけではない…,,,,NOT_CHECKED,19,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFD2D,3,3,3,1,,page1984:tag2:entity7:key00000006:ref3:ord0,むしろ… 憎い,恋しかったわけではない…,…待っていた お前を,,,,NOT_CHECKED,36,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFD2D,4,4,4,1,,page1984:tag2:entity6:key00000005:ref4:ord0,恋しかったわけではない…,…待っていた お前を,ストレンジラブ… 博士だな,,,,NOT_CHECKED,28,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFD2D,5,5,5,1,,page1984:tag2:entity5:key00000004:ref5:ord0,…待っていた お前を,ストレンジラブ… 博士だな,お前は…,,,,NOT_CHECKED,37,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFD2D,6,6,6;13,2,,page1984:tag2:entity4:key00000003:ref6:ord0;page1984:tag2:entity18:key00000005:ref13:ord0,ストレンジラブ… 博士だな,お前は…,誰？,,,,NOT_CHECKED,12,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D3AFD2D,7,7,7,1,,page1984:tag2:entity3:key00000002:ref7:ord0,お前は…,誰？,ボス…！？,,,,NOT_CHECKED,6,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFD2D,8,8,8,1,,page1984:tag2:entity2:key00000001:ref8:ord0,誰？,ボス…！？,命拾いしたようね<->,,,,NOT_CHECKED,15,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFD2D,9,9,9,1,,page1984:tag2:entity1:key00000000:ref9:ord0,ボス…！？,命拾いしたようね<->,"武器を手にした人間は みな<R=抑止力,同じ事>を言う ",<->,,,NOT_CHECKED,27,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFD2D,10,10,10,1,,page1984:tag2:entity12:key00000002:ref10:ord0,命拾いしたようね<->,"武器を手にした人間は みな<R=抑止力,同じ事>を言う ",「動くな」か…,"<R=抑止力,同じ事>",,,NOT_CHECKED,70,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFD2D,11,11,11,1,,page1984:tag2:entity11:key00000001:ref11:ord0,"武器を手にした人間は みな<R=抑止力,同じ事>を言う ",「動くな」か…,動くな！,,,,NOT_CHECKED,21,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFD2D,12,12,12,1,,page1984:tag2:entity10:key00000000:ref12:ord0,「動くな」か…,動くな！,お前は…,,,,NOT_CHECKED,12,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFD2D,13,14,14,1,,page1984:tag2:entity17:key00000004:ref14:ord0,お前は…,殺せ！,ボスと同じように,,,,NOT_CHECKED,9,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
